ITEM	FILE	TC	BIN	HEX
68	.\TC3.txt	28	11100	0x1C
69	.\TC3.txt	45	101101	0x2D
70	.\TC3.txt	-44	1111010100	0xFFFFFFFFD4
71	.\TC3.txt	28	11100	0x1C
72	.\TC3.txt	35	100011	0x23
73	.\TC3.txt	-33	1111011111	0xFFFFFFFFDF
74	.\TC3.txt	43	101011	0x2B
75	.\TC3.txt	-4	1111111100	0xFFFFFFFFFC
76	.\TC3.txt	23	10111	0x17
77	.\TC3.txt	-49	1111001111	0xFFFFFFFFCF
78	.\TC3.txt	49	110001	0x31
79	.\TC3.txt	-7	1111111001	0xFFFFFFFFF9
80	.\TC3.txt	-38	1111011010	0xFFFFFFFFDA
81	.\TC3.txt	-45	1111010011	0xFFFFFFFFD3
82	.\TC3.txt	5	101	0x5
83	.\TC3.txt	-21	1111101011	0xFFFFFFFFEB
84	.\TC3.txt	26	11010	0x1A
85	.\TC3.txt	-2	1111111110	0xFFFFFFFFFE
86	.\TC3.txt	-24	1111101000	0xFFFFFFFFE8
87	.\TC3.txt	6	110	0x6
88	.\TC3.txt	-45	1111010011	0xFFFFFFFFD3
89	.\TC3.txt	-4	1111111100	0xFFFFFFFFFC
90	.\TC3.txt	15	1111	0xF
91	.\TC3.txt	0	0	0
92	.\TC3.txt	-17	1111101111	0xFFFFFFFFEF
93	.\TC3.txt	-35	1111011101	0xFFFFFFFFDD
94	.\TC3.txt	43	101011	0x2B
95	.\TC3.txt	45	101101	0x2D
96	.\TC3.txt	-35	1111011101	0xFFFFFFFFDD
97	.\TC3.txt	-8	1111111000	0xFFFFFFFFF8
98	.\TC3.txt	28	11100	0x1C
99	.\TC3.txt	47	101111	0x2F
100	.\TC3.txt	34	100010	0x22
101	.\TC3.txt	-24	1111101000	0xFFFFFFFFE8
102	.\TC3.txt	-42	1111010110	0xFFFFFFFFD6
103	.\TC3.txt	-13	1111110011	0xFFFFFFFFF3
104	.\TC3.txt	14	1110	0xE
105	.\TC3.txt	-45	1111010011	0xFFFFFFFFD3
106	.\TC3.txt	-35	1111011101	0xFFFFFFFFDD
107	.\TC3.txt	27	11011	0x1B
108	.\TC3.txt	-12	1111110100	0xFFFFFFFFF4
109	.\TC3.txt	-19	1111101101	0xFFFFFFFFED
110	.\TC3.txt	-20	1111101100	0xFFFFFFFFEC
111	.\TC3.txt	-14	1111110010	0xFFFFFFFFF2
112	.\TC3.txt	20	10100	0x14
113	.\TC3.txt	30	11110	0x1E
114	.\TC3.txt	12	1100	0xC
115	.\TC3.txt	-36	1111011100	0xFFFFFFFFDC
116	.\TC3.txt	-47	1111010001	0xFFFFFFFFD1
117	.\TC3.txt	-27	1111100101	0xFFFFFFFFE5
118	.\TC3.txt	-3	1111111101	0xFFFFFFFFFD
119	.\TC3.txt	6	110	0x6
120	.\TC3.txt	36	100100	0x24
121	.\TC3.txt	9	1001	0x9
122	.\TC3.txt	-16	1111110000	0xFFFFFFFFF0
123	.\TC3.txt	36	100100	0x24
124	.\TC3.txt	-27	1111100101	0xFFFFFFFFE5
125	.\TC3.txt	7	111	0x7
126	.\TC3.txt	-6	1111111010	0xFFFFFFFFFA
127	.\TC3.txt	-5	1111111011	0xFFFFFFFFFB
128	.\TC3.txt	5	101	0x5
129	.\TC3.txt	47	101111	0x2F
130	.\TC3.txt	23	10111	0x17
131	.\TC3.txt	-48	1111010000	0xFFFFFFFFD0
132	.\TC3.txt	-24	1111101000	0xFFFFFFFFE8
133	.\TC3.txt	40	101000	0x28
134	.\TC3.txt	-4	1111111100	0xFFFFFFFFFC
135	.\TC3.txt	-18	1111101110	0xFFFFFFFFEE
136	.\TC3.txt	-19	1111101101	0xFFFFFFFFED
137	.\TC3.txt	14	1110	0xE
138	.\TC3.txt	15	1111	0xF
139	.\TC3.txt	1	1	0x1
140	.\TC3.txt	24	11000	0x18
141	.\TC3.txt	-9	1111110111	0xFFFFFFFFF7
142	.\TC3.txt	-50	1111001110	0xFFFFFFFFCE
143	.\TC3.txt	18	10010	0x12
144	.\TC3.txt	15	1111	0xF
145	.\TC3.txt	30	11110	0x1E
146	.\TC3.txt	44	101100	0x2C
147	.\TC3.txt	9	1001	0x9
148	.\TC3.txt	19	10011	0x13
149	.\TC3.txt	33	100001	0x21
150	.\TC3.txt	41	101001	0x29
151	.\TC3.txt	-24	1111101000	0xFFFFFFFFE8
152	.\TC3.txt	43	101011	0x2B
153	.\TC3.txt	48	110000	0x30
154	.\TC3.txt	-23	1111101001	0xFFFFFFFFE9
155	.\TC3.txt	7	111	0x7
156	.\TC3.txt	28	11100	0x1C
157	.\TC3.txt	8	1000	0x8
158	.\TC3.txt	-2	1111111110	0xFFFFFFFFFE
159	.\TC3.txt	37	100101	0x25
160	.\TC3.txt	42	101010	0x2A
161	.\TC3.txt	-17	1111101111	0xFFFFFFFFEF
162	.\TC3.txt	-6	1111111010	0xFFFFFFFFFA
163	.\TC3.txt	36	100100	0x24
164	.\TC3.txt	22	10110	0x16
165	.\TC3.txt	27	11011	0x1B
166	.\TC3.txt	31	11111	0x1F
167	.\TC3.txt	-47	1111010001	0xFFFFFFFFD1
168	.\TC3.txt	-43	1111010101	0xFFFFFFFFD5
169	.\TC3.txt	0	0	0
170	.\TC3.txt	27	11011	0x1B
171	.\TC3.txt	30	11110	0x1E
172	.\TC3.txt	12	1100	0xC
173	.\TC3.txt	-15	1111110001	0xFFFFFFFFF1
174	.\TC3.txt	-19	1111101101	0xFFFFFFFFED
175	.\TC3.txt	-42	1111010110	0xFFFFFFFFD6
176	.\TC3.txt	-37	1111011011	0xFFFFFFFFDB
177	.\TC3.txt	31	11111	0x1F
178	.\TC3.txt	-10	1111110110	0xFFFFFFFFF6
179	.\TC3.txt	18	10010	0x12
180	.\TC3.txt	33	100001	0x21
181	.\TC3.txt	-15	1111110001	0xFFFFFFFFF1
182	.\TC3.txt	17	10001	0x11
183	.\TC3.txt	25	11001	0x19
184	.\TC3.txt	-25	1111100111	0xFFFFFFFFE7
185	.\TC3.txt	-5	1111111011	0xFFFFFFFFFB
186	.\TC3.txt	33	100001	0x21
187	.\TC3.txt	-13	1111110011	0xFFFFFFFFF3
188	.\TC3.txt	33	100001	0x21
189	.\TC3.txt	-10	1111110110	0xFFFFFFFFF6
190	.\TC3.txt	47	101111	0x2F
191	.\TC3.txt	47	101111	0x2F
192	.\TC3.txt	-13	1111110011	0xFFFFFFFFF3
193	.\TC3.txt	-32	1111100000	0xFFFFFFFFE0
194	.\TC3.txt	1	1	0x1
195	.\TC3.txt	1	1	0x1
196	.\TC3.txt	-25	1111100111	0xFFFFFFFFE7
197	.\TC3.txt	-33	1111011111	0xFFFFFFFFDF
198	.\TC3.txt	16	10000	0x10
199	.\TC3.txt	17	10001	0x11
200	.\TC3.txt	4	100	0x4

1	.\TC4.txt	-39	1111011001	0xFFFFFFFFD9
2	.\TC4.txt	-36	1111011100	0xFFFFFFFFDC
3	.\TC4.txt	8	1000	0x8
4	.\TC4.txt	34	100010	0x22
5	.\TC4.txt	17	10001	0x11
6	.\TC4.txt	49	110001	0x31
7	.\TC4.txt	5	101	0x5
8	.\TC4.txt	0	0	0
9	.\TC4.txt	33	100001	0x21
10	.\TC4.txt	12	1100	0xC
11	.\TC4.txt	-6	1111111010	0xFFFFFFFFFA
12	.\TC4.txt	27	11011	0x1B
13	.\TC4.txt	-4	1111111100	0xFFFFFFFFFC
14	.\TC4.txt	-38	1111011010	0xFFFFFFFFDA
15	.\TC4.txt	26	11010	0x1A
16	.\TC4.txt	49	110001	0x31
17	.\TC4.txt	29	11101	0x1D
18	.\TC4.txt	42	101010	0x2A
19	.\TC4.txt	-16	1111110000	0xFFFFFFFFF0
20	.\TC4.txt	34	100010	0x22
21	.\TC4.txt	20	10100	0x14
22	.\TC4.txt	0	0	0
23	.\TC4.txt	25	11001	0x19
24	.\TC4.txt	45	101101	0x2D
25	.\TC4.txt	3	11	0x3
26	.\TC4.txt	-46	1111010010	0xFFFFFFFFD2
27	.\TC4.txt	-46	1111010010	0xFFFFFFFFD2
28	.\TC4.txt	29	11101	0x1D
29	.\TC4.txt	33	100001	0x21
30	.\TC4.txt	29	11101	0x1D
31	.\TC4.txt	26	11010	0x1A
32	.\TC4.txt	-5	1111111011	0xFFFFFFFFFB
33	.\TC4.txt	-36	1111011100	0xFFFFFFFFDC
34	.\TC4.txt	12	1100	0xC
35	.\TC4.txt	45	101101	0x2D
36	.\TC4.txt	-50	1111001110	0xFFFFFFFFCE
37	.\TC4.txt	0	0	0
38	.\TC4.txt	-6	1111111010	0xFFFFFFFFFA

